cartogram_code,source_code,name
352,352,Iceland
620,620,Portugal
724,724,Spain
372,372,Ireland
826,826,United Kingdom
250,249,France
56,56,Belgium
528,528,Netherlands
578,578,Norway
276,276,Germany
442,442,Luxembourg
756,756,Switzerland
380,380,Italy
208,208,Denmark
40,40,Austria
752,752,Sweden
203,203,Czechia
191,191,Croatia
705,705,Slovenia
616,616,Poland
70,70,Bosnia and Herzegovina
348,348,Hungary
703,703,Slovakia
499,499,Montenegro
8,8,Albania
688,688,Serbia
300,300,Greece
807,807,North Macedonia
428,428,Latvia
440,440,Lithuania
642,642,Romania
246,246,Finland
804,804,Ukraine
100,100,Bulgaria
112,112,Belarus
233,233,Estonia
498,498,Moldova
196,196,Cyprus
234,234,Faeroe Islands
20,20,Andorra
492,492,Monaco
470,470,Malta
